technique,nations_sharing,nations,total_groups
Network Sniffing,3,Iran | North Korea | Russia,8
Non-Standard Port,3,Iran | North Korea | Russia,17
OS Credential Dumping,3,China | Iran | Russia,13
Obfuscated Files or Information,3,China | North Korea | Russia,18
Pass the Hash,3,China | North Korea | Russia,11
Password Policy Discovery,3,China | Iran | Russia,3
Process Injection,3,China | North Korea | Russia,15
Proxy,3,China | Iran | Russia,19
Remote Desktop Software,3,China | Iran | North Korea,11
Remote System Discovery,3,China | Iran | Russia,40
Search Victim-Owned Websites,3,China | North Korea | Russia,6
Server,3,China | North Korea | Russia,15
Service Execution,3,China | Iran | North Korea,16
Social Media Accounts,3,Iran | North Korea | Russia,18
Software,3,Iran | North Korea | Russia,3
Spearphishing via Service,3,Iran | North Korea | Russia,14
Steganography,3,China | Iran | North Korea,10
System Time Discovery,3,China | North Korea | Russia,14
Timestomp,3,China | North Korea | Russia,11
Trusted Relationship,3,China | Iran | Russia,12
Vulnerability Scanning,3,China | Iran | Russia,14
Web Service,3,China | Iran | Russia,15
Windows Management Instrumentation Event Subscription,3,China | Iran | Russia,10
Windows Service,3,China | Iran | North Korea,26
Acquire Infrastructure,2,North Korea | Russia,8
Additional Email Delegate Permissions,2,Iran | Russia,3
Adversary-in-the-Middle,2,China | North Korea,3
Application Window Discovery,2,China | North Korea,3
Archive via Custom Method,2,China | North Korea,7
BITS Jobs,2,China | Iran,5
Boot or Logon Initialization Scripts,2,China | Russia,4
Botnet,2,China | Russia,7
Clipboard Data,2,Iran | North Korea,4
Code Signing Policy Modification,2,Iran | Russia,2
Compile After Delivery,2,Iran | Russia,4
Compression,2,North Korea | Russia,10
Compromise Software Supply Chain,2,China | Russia,9
Create Process with Token,2,North Korea | Russia,2
Credentials from Password Stores,2,China | Iran,12
DNS,2,China | Iran,11
Data Destruction,2,North Korea | Russia,6
Data Transfer Size Limits,2,China | Russia,5
Data from Removable Media,2,Iran | Russia,4
Dead Drop Resolver,2,China | North Korea,6
Delay Execution,2,China | North Korea,2
Disable or Modify System Firewall,2,North Korea | Russia,13
Disk Content Wipe,2,North Korea | Russia,3
Disk Structure Wipe,2,North Korea | Russia,6
Domain Trust Discovery,2,China | Iran,10
Double File Extension,2,China | North Korea,2
Dynamic API Resolution,2,China | North Korea,3
Dynamic Resolution,2,North Korea | Russia,8
Dynamic-link Library Injection,2,North Korea | Russia,10
Email Account,2,Iran | Russia,4
Email Forwarding Rule,2,North Korea | Russia,5
Employee Names,2,North Korea | Russia,3
Encrypted Channel,2,Iran | Russia,4
Exfiltration Over Web Service,2,Iran | Russia,4
Fast Flux DNS,2,China | Russia,3
Gather Victim Network Information,2,China | Russia,3
Group Policy Modification,2,China | Russia,5
Hidden Users,2,North Korea | Russia,2
IP Addresses,2,Iran | North Korea,3
Indicator Removal,2,China | North Korea,4
Internal Defacement,2,North Korea | Russia,3
Local Accounts,2,North Korea | Russia,12
Local Email Collection,2,China | Iran,8
Local Storage Discovery,2,China | North Korea,10
Mail Protocols,2,North Korea | Russia,6
Malicious Copy and Paste,2,Iran | North Korea,3
Mark-of-the-Web Bypass,2,North Korea | Russia,3
Masquerade Account Name,2,Iran | Russia,4
Multi-Factor Authentication Interception,2,China | North Korea,4
Multi-hop Proxy,2,China | Russia,11
Network Devices,2,China | Russia,4
Network Topology,2,China | Iran,4
Non-Application Layer Protocol,2,China | Russia,12
Pass the Ticket,2,China | Russia,3
Password Managers,2,Iran | Russia,7
Phishing,2,Iran | North Korea,8
Phishing for Information,2,North Korea | Russia,5
Private Keys,2,China | North Korea,6
Process Hollowing,2,China | North Korea,8
Protocol Tunneling,2,China | Iran,15
Protocol or Service Impersonation,2,China | North Korea,3
Reflective Code Loading,2,North Korea | Russia,4
Regsvr32,2,China | North Korea,11
Remote Access Tools,2,Iran | Russia,12
Remote Data Staging,2,China | Russia,11
Rename Legitimate Utilities,2,China | North Korea,6
Replication Through Removable Media,2,China | Russia,8
Rootkit,2,China | Russia,6
Search Open Technical Databases,2,North Korea | Russia,2
Search Open Websites/Domains,2,China | Russia,6
Security Account Manager,2,China | Russia,14
Service Stop,2,North Korea | Russia,7
Sharepoint,2,China | Russia,7
Shortcut Modification,2,Iran | North Korea,4
Software Deployment Tools,2,China | Russia,7
Software Discovery,2,China | Iran,11
Steal Web Session Cookie,2,North Korea | Russia,8
Supply Chain Compromise,2,Iran | Russia,3
System Binary Proxy Execution,2,China | North Korea,2
Taint Shared Content,2,China | Russia,5
Traffic Signaling,2,China | North Korea,3
VNC,2,Iran | Russia,4
Virtual Private Server,2,China | Russia,18
Vulnerabilities,2,China | Russia,3
Windows Credential Manager,2,Iran | Russia,4
Windows Host Firewall,2,Iran | North Korea,6
