apt_group,evolution_score,years_active,total_techniques,first_seen,last_seen
TA551,0.0,1,14,2021,2021
TA577,0.0,1,6,2024,2024
TA578,0.0,1,4,2024,2024
The White Company,0.0,1,7,2019,2019
Threat Group-1314,0.0,1,4,2017,2017
Thrip,0.0,1,3,2018,2018
ToddyCat,0.0,1,25,2024,2024
Tonto Team,0.0,1,15,2021,2021
Transparent Tribe,0.0,1,13,2021,2021
UNC3886,0.0,1,46,2025,2025
VOID MANTICORE,0.0,1,60,2026,2026
Velvet Ant,0.0,1,22,2025,2025
Water Galura,0.0,1,3,2025,2025
Whitefly,0.0,1,8,2020,2020
Windigo,0.0,1,7,2021,2021
Winter Vivern,0.0,1,27,2024,2024
