APT_Group,Technique,Year
Windshift,Windows Management Instrumentation,2021
CURIUM,PowerShell,2024
Kimsuky,Spearphishing Attachment,2019
OilRig,Malicious Link,2020
MuddyWater,Exploitation of Remote Services,2022
Gamaredon Group,Rundll32,2020
RTM,Remote Desktop Software,2020
APT28,Template Injection,2019
SideCopy,System Network Configuration Discovery,2022
OilRig,Screen Capture,2018
WIRTE,Match Legitimate Resource Name or Location,2022
Higaisa,Symmetric Cryptography,2021
Mustang Panda,InstallUtil,2021
Chimera,Query Registry,2021
Aoqin Dragon,Software Packing,2022
Axiom,Accessibility Features,2017
APT41,Impersonation,2024
Storm-0501,Security Software Discovery,2025
Chimera,Credentials,2021
Gamaredon Group,Component Object Model,2020
Storm-0501,Domain Account,2025
Patchwork,Local Data Staging,2018
Saint Bear,Virtualization/Sandbox Evasion,2024
DarkVishnya,PowerShell,2020
OilRig,Password Filter DLL,2024
LAPSUS$,Create Cloud Instance,2022
Leviathan,Remote Desktop Protocol,2019
APT37,Audio Capture,2018
Leviathan,Domains,2021
Wizard Spider,Archive via Utility,2023
APT39,External Proxy,2020
Contagious Interview,Virtualization/Sandbox Evasion,2025
TeamTNT,Cloud Instance Metadata API,2021
APT42,System Network Configuration Discovery,2025
FIN6,Spearphishing via Service,2019
FIN8,Asymmetric Cryptography,2018
Mustang Panda,Code Signing,2025
VOID MANTICORE,LSASS Memory,2026
Storm-0501,Trust Modification,2025
BlackByte,Masquerade File Type,2024
BlackByte,Process Hollowing,2024
EXOTIC LILY,Malicious File,2022
SilverTerrier,Web Protocols,2020
TeamTNT,Linux and Mac Permissions,2021
Lazarus Group,Spearphishing via Service,2022
APT37,Disk Structure Wipe,2018
APT-C-36,Scheduled Task,2020
Sandworm Team,Vulnerability Scanning,2020
Storm-0501,Software Packing,2025
APT29,Remote Email Collection,2023
Andariel,IP Addresses,2021
ToddyCat,Match Legitimate Resource Name or Location,2024
The White Company,Software Packing,2019
BRONZE BUTLER,Scheduled Task,2020
GALLIUM,Scheduled Task,2019
Chimera,Sharepoint,2021
Ember Bear,Credentials In Files,2024
Higaisa,Exploitation for Client Execution,2021
Kimsuky,Mail Protocols,2020
Winter Vivern,System Information Discovery,2024
ToddyCat,File and Directory Discovery,2024
Threat Group-3390,Network Service Discovery,2017
RTM,DLL,2020
Lazarus Group,Dynamic API Resolution,2022
GALLIUM,Server,2021
Turla,Visual Basic,2019
Cobalt Group,Command Obfuscation,2018
OilRig,Cached Domain Credentials,2020
Fox Kitten,Accessibility Features,2020
Moonstone Sleet,Spearphishing Link,2024
HEXANE,Command Obfuscation,2022
MuddyWater,Proxy,2026
ZIRCONIUM,Windows Command Shell,2021
BlackByte,Scheduled Task,2024
APT-C-36,Upload Malware,2026
APT3,File and Directory Discovery,2018
Cobalt Group,PowerShell,2018
DarkHydrus,PowerShell,2018
APT41,Network Boundary Bridging,2024
Fox Kitten,Protocol Tunneling,2020
Saint Bear,Upload Malware,2024
Tonto Team,Python,2021
APT28,Symmetric Cryptography,2019
FIN7,Mshta,2018
APT32,Junk Code Insertion,2018
UNC3886,Default Accounts,2025
APT39,DNS,2020
Kimsuky,Malicious Link,2022
Kimsuky,Social Media Accounts,2022
Darkhotel,Security Software Discovery,2019
OilRig,Credentials In Files,2019
Windshift,System Owner/User Discovery,2021
OilRig,Remote Access Tools,2024
Cinnamon Tempest,PowerShell,2023
Volt Typhoon,Screen Capture,2024
APT19,Windows Service,2018
Chimera,Windows Command Shell,2021
Wizard Spider,Service Execution,2020
Threat Group-3390,LSASS Memory,2020
Magic Hound,Web Services,2022
Molerats,Spearphishing Attachment,2020
APT41,Registry Run Keys / Startup Folder,2019
TA505,Disable or Modify Tools,2022
TA577,Malicious Link,2024
APT1,Remote Desktop Protocol,2017
