technique,threat_score,defence_score,gap_score,priority,total_groups,has_defence,available_defences,is_emerging,convergence_alerts
Artificial Intelligence,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Cloud Administration Command,0.01,0.333,-0.09,Low,2,True,Privileged Account Management,False,0
Cloud Infrastructure Discovery,0.01,0.333,-0.09,Low,2,True,User Account Management,False,0
Cloud Secrets Management Stores,0.01,0.333,-0.09,Low,2,True,Privileged Account Management,False,0
Compromise Host Software Binary,0.01,0.333,-0.09,Low,2,True,Code Signing,False,0
Conditional Access Policies,0.01,0.333,-0.09,Low,2,True,User Account Management,False,0
Email Hiding Rules,0.01,0.333,-0.09,Low,2,True,Audit,False,0
Environmental Keying,0.01,0.333,-0.09,Low,2,True,Do Not Mitigate,False,0
External Defacement,0.01,0.333,-0.09,Low,2,True,Data Backup,False,0
Fileless Storage,0.01,0.333,-0.09,Low,2,True,Audit,False,0
GUI Input Capture,0.01,0.333,-0.09,Low,2,True,User Training,False,0
Hidden Users,0.01,0.333,-0.09,Low,2,True,Operating System Configuration,False,0
Invalid Code Signature,0.01,0.333,-0.09,Low,2,True,Code Signing,False,0
Logon Script (Windows),0.01,0.333,-0.09,Low,2,True,Restrict Registry Permissions,False,0
Mutual Exclusion,0.01,0.333,-0.09,Low,2,True,Do Not Mitigate,False,0
Port Knocking,0.01,0.333,-0.09,Low,2,True,Filter Network Traffic,False,0
Portable Executable Injection,0.01,0.333,-0.09,Low,2,True,Behavior Prevention on Endpoint,False,0
Query Public AI Services,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Scan Databases,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Scanning IP Blocks,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Search Open Technical Databases,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Search Threat Vendor Data,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Upload Tool,0.01,0.333,-0.09,Low,2,True,Pre-compromise,False,0
Web Portal Capture,0.01,0.333,-0.09,Low,2,True,Privileged Account Management,False,0
XSL Script Processing,0.01,0.333,-0.09,Low,2,True,Execution Prevention,False,0
Gather Victim Org Information,0.006,0.333,-0.094,Low,7,True,Pre-compromise,False,3
Acquire Access,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Add-ins,0.005,0.333,-0.095,Low,1,True,Behavior Prevention on Endpoint,False,0
Asynchronous Procedure Call,0.005,0.333,-0.095,Low,1,True,Behavior Prevention on Endpoint,False,0
AutoHotKey & AutoIT,0.005,0.333,-0.095,Low,1,True,Execution Prevention,False,0
Client Configurations,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Cloud Service Dashboard,0.005,0.333,-0.095,Low,1,True,User Account Management,False,0
Component Firmware,0.005,0.333,-0.095,Low,1,True,Update Software,False,0
Data Encoding,0.005,0.333,-0.095,Low,1,True,Network Intrusion Prevention,False,0
Data Obfuscation,0.005,0.333,-0.095,Low,1,True,Network Intrusion Prevention,False,0
Determine Physical Locations,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Device Registration,0.005,0.333,-0.095,Low,1,True,Multi-factor Authentication,False,0
Disable or Modify Cloud Log,0.005,0.333,-0.095,Low,1,True,User Account Management,False,0
Domain Fronting,0.005,0.333,-0.095,Low,1,True,SSL/TLS Inspection,False,0
Domain Properties,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
ESXi Administration Command,0.005,0.333,-0.095,Low,1,True,User Account Management,False,0
Endpoint Denial of Service,0.005,0.333,-0.095,Low,1,True,Filter Network Traffic,False,0
Gather Victim Host Information,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
HTML Smuggling,0.005,0.333,-0.095,Low,1,True,Application Isolation and Sandboxing,False,0
IDE Tunneling,0.005,0.333,-0.095,Low,1,True,Execution Prevention,False,0
Install Digital Certificate,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Junk Data,0.005,0.333,-0.095,Low,1,True,Network Intrusion Prevention,False,0
KernelCallbackTable,0.005,0.333,-0.095,Low,1,True,Behavior Prevention on Endpoint,False,0
Keychain,0.005,0.333,-0.095,Low,1,True,Password Policies,False,0
Launch Agent,0.005,0.333,-0.095,Low,1,True,Restrict File and Directory Permissions,False,0
Malvertising,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
NTFS File Attributes,0.005,0.333,-0.095,Low,1,True,Restrict File and Directory Permissions,False,0
Network Denial of Service,0.005,0.333,-0.095,Low,1,True,Filter Network Traffic,False,0
Network Security Appliances,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Non-Standard Encoding,0.005,0.333,-0.095,Low,1,True,Network Intrusion Prevention,False,0
Print Processors,0.005,0.333,-0.095,Low,1,True,User Account Management,False,0
Process Doppelgänging,0.005,0.333,-0.095,Low,1,True,Behavior Prevention on Endpoint,False,0
Purchase Technical Data,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
SEO Poisoning,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Scheduled Transfer,0.005,0.333,-0.095,Low,1,True,Network Intrusion Prevention,False,0
Search Closed Sources,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Search Engines,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Shared Modules,0.005,0.333,-0.095,Low,1,True,Execution Prevention,False,0
Stage Capabilities,0.005,0.333,-0.095,Low,1,True,Pre-compromise,False,0
Systemctl,0.005,0.333,-0.095,Low,1,True,User Account Management,False,0
Transmitted Data Manipulation,0.005,0.333,-0.095,Low,1,True,Encrypt Sensitive Information,False,0
Unix Shell Configuration Modification,0.005,0.333,-0.095,Low,1,True,Restrict File and Directory Permissions,False,0
Web Session Cookie,0.005,0.333,-0.095,Low,1,True,Software Configuration,False,0
Windows Management Instrumentation,0.203,1.0,-0.097,Low,42,True,Behavior Prevention on Endpoint | Execution Prevention | Privileged Account Management | User Account Management,False,10
Scheduled Task,0.201,1.0,-0.099,Low,54,True,Audit | Operating System Configuration | Privileged Account Management | User Account Management,False,9
Non-Application Layer Protocol,0.198,1.0,-0.102,Low,12,True,Audit | Filter Network Traffic | Network Intrusion Prevention | Network Segmentation,True,6
Data from Removable Media,-0.004,0.333,-0.103,Low,4,True,Data Loss Prevention,False,1
Identify Roles,-0.004,0.333,-0.103,Low,4,True,Pre-compromise,False,1
Command Obfuscation,0.094,0.667,-0.105,Low,29,True,Antivirus/Antimalware | Behavior Prevention on Endpoint,False,8
Drive-by Target,-0.007,0.333,-0.107,Low,8,True,Pre-compromise,False,2
Visual Basic,0.192,1.0,-0.108,Low,46,True,Antivirus/Antimalware | Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Execution Prevention | Restrict Web-Based Content,False,8
Password Managers,0.191,1.0,-0.109,Low,7,True,Password Policies | Software Configuration | Update Software | User Account Management | User Training,True,4
Web Service,0.091,0.667,-0.109,Low,15,True,Network Intrusion Prevention | Restrict Web-Based Content,False,5
LSASS Memory,0.189,1.0,-0.111,Low,44,True,Behavior Prevention on Endpoint | Credential Access Protection | Operating System Configuration | Password Policies | Privileged Account Management | Privileged Process Integrity | User Training,False,9
DNS Server,-0.012,0.333,-0.112,Low,4,True,Pre-compromise,False,1
Mail Protocols,0.086,0.667,-0.114,Low,6,True,Filter Network Traffic | Network Intrusion Prevention,False,2
Automated Collection,0.084,0.667,-0.116,Low,21,True,Encrypt Sensitive Information | Remote Data Storage,False,7
SSH,0.183,1.0,-0.116,Low,19,True,Disable or Remove Feature or Program | Multi-factor Authentication | User Account Management,True,9
Mshta,0.076,0.667,-0.124,Low,17,True,Disable or Remove Feature or Program | Execution Prevention,False,5
Spearphishing Link,0.176,1.0,-0.124,Low,53,True,Audit | Restrict Web-Based Content | Software Configuration | User Account Management | User Training,False,9
Compromise Software Supply Chain,0.075,0.667,-0.125,Low,9,True,Update Software | Vulnerability Scanning,False,3
Prevent Command History Logging,0.072,0.667,-0.128,Low,4,True,Environment Variable Permissions | Operating System Configuration,False,1
Execution Guardrails,-0.029,0.333,-0.129,Low,4,True,Do Not Mitigate,False,1
IP Addresses,-0.034,0.333,-0.134,Low,3,True,Pre-compromise,False,1
Process Injection,0.062,0.667,-0.137,Low,15,True,Behavior Prevention on Endpoint | Privileged Account Management,False,5
Disable or Modify Tools,0.162,1.0,-0.138,Low,32,True,Audit | Disable or Remove Feature or Program | Execution Prevention | Restrict File and Directory Permissions | Restrict Registry Permissions | Software Configuration | User Account Management,False,9
Dynamic Resolution,0.059,0.667,-0.141,Low,8,True,Network Intrusion Prevention | Restrict Web-Based Content,False,4
Local Account,0.159,1.0,-0.141,Low,29,True,Multi-factor Authentication | Operating System Configuration | Privileged Account Management,False,9
Data Encrypted for Impact,0.057,0.667,-0.142,Low,18,True,Behavior Prevention on Endpoint | Data Backup,False,5
Network Service Discovery,0.156,1.0,-0.144,Low,31,True,Disable or Remove Feature or Program | Network Intrusion Prevention | Network Segmentation,False,9
External Remote Services,0.154,1.0,-0.146,Low,28,True,Disable or Remove Feature or Program | Limit Access to Resource Over Network | Multi-factor Authentication | Network Segmentation | Restrict Web-Based Content,False,9
Phishing for Information,0.053,0.667,-0.147,Low,5,True,Software Configuration | User Training,False,2
PowerShell,0.152,1.0,-0.148,Low,85,True,Antivirus/Antimalware | Code Signing | Disable or Remove Feature or Program | Execution Prevention | Privileged Account Management,False,9
Protocol Tunneling,0.052,0.667,-0.148,Low,15,True,Filter Network Traffic | Network Intrusion Prevention,False,5
Domain Account,0.151,1.0,-0.149,Low,32,True,Multi-factor Authentication | Network Segmentation | Operating System Configuration | Privileged Account Management,False,9
Valid Accounts,0.15,1.0,-0.15,Low,45,True,Account Use Policies | Active Directory Configuration | Application Developer Guidance | Multi-factor Authentication | Password Policies | Privileged Account Management | User Account Management | User Training,False,9
Malicious Link,0.148,1.0,-0.152,Low,49,True,Network Intrusion Prevention | Restrict Web-Based Content | User Training,False,7
Local Email Collection,0.046,0.667,-0.154,Low,8,True,Encrypt Sensitive Information | Out-of-Band Communications Channel,False,1
Remote Desktop Protocol,0.143,1.0,-0.157,Low,37,True,Audit | Disable or Remove Feature or Program | Limit Access to Resource Over Network | Multi-factor Authentication | Network Segmentation | Operating System Configuration | Privileged Account Management | User Account Management,False,9
Windows Service,0.142,1.0,-0.158,Low,26,True,Audit | Behavior Prevention on Endpoint | Code Signing | Operating System Configuration | User Account Management,False,8
Domain Trust Discovery,0.038,0.667,-0.162,Low,10,True,Audit | Network Segmentation,False,5
Hidden Window,0.037,0.667,-0.162,Low,18,True,Execution Prevention | Limit Software Installation,False,5
Domain Accounts,0.136,1.0,-0.164,Low,19,True,Multi-factor Authentication | Password Policies | Privileged Account Management | User Account Management | User Training,False,5
Group Policy Modification,0.028,0.667,-0.172,Low,5,True,Audit | User Account Management,False,2
Masquerading,0.126,1.0,-0.174,Low,20,True,Antivirus/Antimalware | Audit | Behavior Prevention on Endpoint | Code Signing | Execution Prevention | Restrict File and Directory Permissions | User Account Management | User Training,False,6
Boot or Logon Initialization Scripts,0.022,0.667,-0.178,Low,4,True,Restrict File and Directory Permissions | Restrict Registry Permissions,False,1
Exfiltration Over Web Service,0.022,0.667,-0.178,Low,4,True,Data Loss Prevention | Restrict Web-Based Content,False,1
Component Object Model,0.02,0.667,-0.18,Low,4,True,Application Isolation and Sandboxing | Privileged Account Management,False,0
Password Cracking,0.02,0.667,-0.18,Low,4,True,Multi-factor Authentication | Password Policies,False,0
Steganography,-0.08,0.333,-0.18,Low,10,True,Network Intrusion Prevention,False,2
Account Discovery,0.017,0.667,-0.183,Low,3,True,Operating System Configuration | User Account Management,False,1
Cloud Services,0.017,0.667,-0.183,Low,3,True,Multi-factor Authentication | Privileged Account Management,False,1
LNK Icon Smuggling,0.017,0.667,-0.183,Low,3,True,Antivirus/Antimalware | Behavior Prevention on Endpoint,False,1
Linux and Mac Permissions,0.017,0.667,-0.183,Low,3,True,Privileged Account Management | Restrict File and Directory Permissions,False,1
Malicious Copy and Paste,0.117,1.0,-0.183,Low,3,True,Execution Prevention | Network Intrusion Prevention | Restrict Web-Based Content,False,1
Remote Services,0.117,1.0,-0.183,Low,3,True,Audit | Disable or Remove Feature or Program | Limit Access to Resource Over Network | Multi-factor Authentication | Password Policies | User Account Management,False,1
Traffic Signaling,0.017,0.667,-0.183,Low,3,True,Disable or Remove Feature or Program | Filter Network Traffic,False,1
Winlogon Helper DLL,0.017,0.667,-0.183,Low,3,True,Execution Prevention | User Account Management,False,1
Cron,0.015,0.667,-0.185,Low,3,True,Audit | User Account Management,False,0
Mark-of-the-Web Bypass,0.015,0.667,-0.185,Low,3,True,Disable or Remove Feature or Program | Execution Prevention,False,0
Financial Theft,0.013,0.667,-0.187,Low,15,True,User Account Management | User Training,False,3
CMSTP,0.01,0.667,-0.19,Low,2,True,Disable or Remove Feature or Program | Execution Prevention,False,0
Clear Network Connection History and Configurations,0.01,0.667,-0.19,Low,2,True,Remote Data Storage | Restrict Registry Permissions,False,0
Compiled HTML File,0.01,0.667,-0.19,Low,5,True,Execution Prevention | Restrict Web-Based Content,False,1
Create Cloud Instance,0.01,0.667,-0.19,Low,2,True,Audit | User Account Management,False,0
Create Process with Token,0.01,0.667,-0.19,Low,2,True,Privileged Account Management | User Account Management,False,0
Delete Cloud Instance,0.01,0.667,-0.19,Low,2,True,Audit | User Account Management,False,0
Direct Volume Access,0.01,0.667,-0.19,Low,2,True,Behavior Prevention on Endpoint | User Account Management,False,0
Domain Generation Algorithms,0.01,0.667,-0.19,Low,2,True,Network Intrusion Prevention | Restrict Web-Based Content,False,0
Double File Extension,0.01,0.667,-0.19,Low,2,True,Operating System Configuration | User Training,False,0
Forced Authentication,0.01,0.667,-0.19,Low,2,True,Filter Network Traffic | Password Policies,False,0
InstallUtil,0.01,0.667,-0.19,Low,2,True,Disable or Remove Feature or Program | Execution Prevention,False,0
Make and Impersonate Token,0.01,0.667,-0.19,Low,2,True,Privileged Account Management | User Account Management,False,0
One-Way Communication,0.01,0.667,-0.19,Low,2,True,Network Intrusion Prevention | Restrict Web-Based Content,False,0
Token Impersonation/Theft,0.01,0.667,-0.19,Low,2,True,Privileged Account Management | User Account Management,False,0
Trust Modification,0.01,0.667,-0.19,Low,2,True,Privileged Account Management | User Account Management,False,0
Windows Permissions,0.01,0.667,-0.19,Low,2,True,Privileged Account Management | Restrict File and Directory Permissions,False,0
Wordlist Scanning,0.01,0.667,-0.19,Low,2,True,Disable or Remove Feature or Program | Pre-compromise,False,0
Dead Drop Resolver,0.008,0.667,-0.192,Low,6,True,Network Intrusion Prevention | Restrict Web-Based Content,False,2
Search Open Websites/Domains,0.008,0.667,-0.192,Low,6,True,Application Developer Guidance | Audit,False,2
Exploitation for Client Execution,0.106,1.0,-0.194,Low,41,True,Application Isolation and Sandboxing | Exploit Protection | Update Software,False,6
AppInit DLLs,0.005,0.667,-0.195,Low,1,True,Execution Prevention | Update Software,False,0
Application Shimming,0.005,0.667,-0.195,Low,1,True,Update Software | User Account Control,False,0
Browser Session Hijacking,0.005,0.667,-0.195,Low,1,True,User Account Management | User Training,False,0
Chat Messages,0.005,0.667,-0.195,Low,1,True,Audit | User Training,False,0
Communication Through Removable Media,0.005,0.667,-0.195,Low,1,True,Disable or Remove Feature or Program | Operating System Configuration,False,0
Container CLI/API,0.005,0.667,-0.195,Low,1,True,Execution Prevention | Privileged Account Management,False,0
Content Injection,0.005,0.667,-0.195,Low,1,True,Encrypt Sensitive Information | Restrict Web-Based Content,False,0
Email Bombing,0.005,0.667,-0.195,Low,1,True,Software Configuration | User Training,False,0
Evil Twin,0.005,0.667,-0.195,Low,1,True,Network Intrusion Prevention | User Training,False,0
File/Path Exclusions,0.005,0.667,-0.195,Low,1,True,Antivirus/Antimalware | Application Developer Guidance,False,0
Golden Ticket,0.005,0.667,-0.195,Low,1,True,Active Directory Configuration | Privileged Account Management,False,0
Hardware Additions,0.005,0.667,-0.195,Low,1,True,Limit Access to Resource Over Network | Limit Hardware Installation,False,0
Input Injection,0.005,0.667,-0.195,Low,1,True,Execution Prevention | Limit Hardware Installation,False,0
MMC,0.005,0.667,-0.195,Low,1,True,Disable or Remove Feature or Program | Execution Prevention,False,0
Odbcconf,0.005,0.667,-0.195,Low,1,True,Disable or Remove Feature or Program | Execution Prevention,False,0
Office Template Macros,0.005,0.667,-0.195,Low,1,True,Behavior Prevention on Endpoint | Disable or Remove Feature or Program,False,0
Office Test,0.005,0.667,-0.195,Low,1,True,Behavior Prevention on Endpoint | Software Configuration,False,0
Outlook Home Page,0.005,0.667,-0.195,Low,1,True,Behavior Prevention on Endpoint | Update Software,False,0
Proxy,0.105,1.0,-0.195,Low,19,True,Filter Network Traffic | Network Intrusion Prevention | SSL/TLS Inspection,False,7
PubPrn,0.005,0.667,-0.195,Low,1,True,Behavior Prevention on Endpoint | Execution Prevention,False,0
Runtime Data Manipulation,0.005,0.667,-0.195,Low,1,True,Network Segmentation | Restrict File and Directory Permissions,False,0
SMB/Windows Admin Shares,0.104,1.0,-0.196,Low,27,True,Filter Network Traffic | Limit Access to Resource Over Network | Password Policies | Privileged Account Management,False,9
Security Account Manager,0.103,1.0,-0.197,Low,14,True,Operating System Configuration | Password Policies | Privileged Account Management | User Training,False,5
Msiexec,-0.0,0.667,-0.2,Low,6,True,Disable or Remove Feature or Program | Privileged Account Management,False,2
Python,0.1,1.0,-0.2,Low,18,True,Antivirus/Antimalware | Audit | Execution Prevention | Limit Software Installation,False,7
Encrypted Channel,-0.002,0.667,-0.202,Low,4,True,Network Intrusion Prevention | SSL/TLS Inspection,False,2
Credentials from Web Browsers,0.097,1.0,-0.203,Low,23,True,Password Policies | Restrict Web-Based Content | Update Software | User Account Management | User Training,False,7
Exploitation for Privilege Escalation,0.097,1.0,-0.203,Low,22,True,Application Isolation and Sandboxing | Execution Prevention | Exploit Protection | Threat Intelligence Program | Update Software,False,8
Access Token Manipulation,-0.005,0.667,-0.205,Low,3,True,Privileged Account Management | User Account Management,False,0
Spearphishing via Service,0.095,1.0,-0.205,Low,14,True,Antivirus/Antimalware | Audit | Restrict Web-Based Content | User Account Management | User Training,False,7
Application Layer Protocol,-0.007,0.667,-0.207,Low,5,True,Filter Network Traffic | Network Intrusion Prevention,False,1
JavaScript,0.09,1.0,-0.209,Low,26,True,Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Execution Prevention | Restrict Web-Based Content,False,7
Dynamic Linker Hijacking,-0.01,0.667,-0.21,Low,3,True,Execution Prevention | Operating System Configuration,False,0
Remote Desktop Software,0.09,1.0,-0.21,Low,11,True,Disable or Remove Feature or Program | Execution Prevention | Filter Network Traffic,False,5
Masquerade Account Name,-0.012,0.667,-0.212,Low,4,True,Audit | User Account Management,False,1
Cloud Accounts,0.086,1.0,-0.214,Low,12,True,Account Use Policies | Active Directory Configuration | Multi-factor Authentication | Password Policies | Pre-compromise | Privileged Account Management | User Account Management | User Training,False,6
Windows Management Instrumentation Event Subscription,0.084,1.0,-0.216,Low,10,True,Behavior Prevention on Endpoint | Privileged Account Management | User Account Management,False,6
Brute Force,0.079,1.0,-0.221,Low,15,True,Account Use Policies | Multi-factor Authentication | Password Policies | User Account Management,False,7
Obfuscated Files or Information,0.077,1.0,-0.223,Low,18,True,Antivirus/Antimalware | Audit | Behavior Prevention on Endpoint | User Training,False,5
DNS,0.076,1.0,-0.224,Low,11,True,Filter Network Traffic | Network Intrusion Prevention | Software Configuration,False,3
Exploitation of Remote Services,0.073,1.0,-0.227,Low,11,True,Application Isolation and Sandboxing | Disable or Remove Feature or Program | Exploit Protection | Network Segmentation | Privileged Account Management | Threat Intelligence Program | Update Software | Vulnerability Scanning,False,5
Pass the Hash,0.073,1.0,-0.227,Low,11,True,Privileged Account Management | Update Software | User Account Control | User Account Management,False,5
Command and Scripting Interpreter,0.072,1.0,-0.228,Low,17,True,Antivirus/Antimalware | Audit | Behavior Prevention on Endpoint | Code Signing | Disable or Remove Feature or Program | Execution Prevention | Limit Software Installation | Privileged Account Management | Restrict Web-Based Content,False,6
Default Accounts,-0.029,0.667,-0.228,Low,4,True,Multi-factor Authentication | Password Policies,False,1
Indicator Removal,0.072,1.0,-0.228,Low,4,True,Encrypt Sensitive Information | Remote Data Storage | Restrict File and Directory Permissions,False,1
Clear Windows Event Logs,0.069,1.0,-0.231,Low,14,True,Encrypt Sensitive Information | Remote Data Storage | Restrict File and Directory Permissions,False,5
Bootkit,-0.034,0.667,-0.233,Low,3,True,Boot Integrity | Privileged Account Management,False,1
Cloud API,-0.034,0.667,-0.233,Low,3,True,Execution Prevention | Privileged Account Management,False,1
Non-Standard Port,-0.034,0.667,-0.234,Low,17,True,Network Intrusion Prevention | Network Segmentation,False,4
Template Injection,0.065,1.0,-0.235,Low,8,True,Antivirus/Antimalware | Disable or Remove Feature or Program | Network Intrusion Prevention | User Training,False,3
Password Spraying,0.058,1.0,-0.242,Low,11,True,Account Use Policies | Multi-factor Authentication | Password Policies,False,7
Phishing,0.057,1.0,-0.243,Low,8,True,Antivirus/Antimalware | Audit | Network Intrusion Prevention | Restrict Web-Based Content | Software Configuration | User Training,False,3
Bypass User Account Control,0.056,1.0,-0.244,Low,11,True,Audit | Privileged Account Management | Update Software | User Account Control,False,3
Code Repositories,0.053,1.0,-0.247,Low,5,True,Application Developer Guidance | Audit | Multi-factor Authentication | User Account Management | User Training,False,2
Trusted Relationship,0.051,1.0,-0.249,Low,12,True,Multi-factor Authentication | Network Segmentation | User Account Management,False,5
Windows Host Firewall,0.051,1.0,-0.249,Low,6,True,Audit | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,False,3
BITS Jobs,0.045,1.0,-0.255,Low,5,True,Filter Network Traffic | Operating System Configuration | User Account Management,False,2
OS Credential Dumping,0.045,1.0,-0.255,Low,13,True,Active Directory Configuration | Behavior Prevention on Endpoint | Credential Access Protection | Encrypt Sensitive Information | Operating System Configuration | Password Policies | Privileged Account Management | Privileged Process Integrity | User Training,False,5
Remote Email Collection,0.044,1.0,-0.256,Low,13,True,Encrypt Sensitive Information | Multi-factor Authentication | Out-of-Band Communications Channel,False,5
Inhibit System Recovery,0.04,1.0,-0.261,Low,7,True,Data Backup | Execution Prevention | Operating System Configuration | User Account Management,False,3
Service Stop,0.04,1.0,-0.261,Low,7,True,Network Segmentation | Out-of-Band Communications Channel | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,False,3
Replication Through Removable Media,0.038,1.0,-0.262,Low,8,True,Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Limit Hardware Installation,False,3
Local Accounts,0.036,1.0,-0.264,Low,12,True,Multi-factor Authentication | Password Policies | Privileged Account Management | User Account Management,False,4
Remote Access Tools,0.036,1.0,-0.264,Low,12,True,Disable or Remove Feature or Program | Execution Prevention | Filter Network Traffic | Limit Hardware Installation | Network Intrusion Prevention,False,4
Clear Command History,0.034,1.0,-0.266,Low,8,True,Environment Variable Permissions | Remote Data Storage | Restrict File and Directory Permissions,False,4
NTDS,0.031,1.0,-0.269,Low,18,True,Encrypt Sensitive Information | Password Policies | Privileged Account Management | User Training,False,5
Sharepoint,0.03,1.0,-0.27,Low,7,True,Audit | User Account Management | User Training,False,1
Email Forwarding Rule,0.027,1.0,-0.273,Low,5,True,Audit | Disable or Remove Feature or Program | Encrypt Sensitive Information | Out-of-Band Communications Channel,False,1
File Transfer Protocols,-0.074,0.667,-0.273,Low,5,True,Filter Network Traffic | Network Intrusion Prevention,False,1
Taint Shared Content,0.025,1.0,-0.275,Low,5,True,Antivirus/Antimalware | Execution Prevention | Exploit Protection | Restrict File and Directory Permissions,False,0
Windows Remote Management,0.025,1.0,-0.275,Low,5,True,Disable or Remove Feature or Program | Network Segmentation | Privileged Account Management,False,0
Drive-by Compromise,0.024,1.0,-0.276,Low,31,True,Application Isolation and Sandboxing | Exploit Protection | Restrict Web-Based Content | Update Software | User Training,False,6
