technique,threat_score,defence_score,gap_score,priority,total_groups,has_defence,available_defences,is_emerging,convergence_alerts
Abuse Elevation Control Mechanism,0.005,1.0,-0.295,Low,1,True,Audit | Execution Prevention | Operating System Configuration | Privileged Account Management | Restrict File and Directory Permissions | Update Software | User Account Control | User Account Management,False,0
Additional Cloud Credentials,0.005,1.0,-0.295,Low,1,True,Disable or Remove Feature or Program | Multi-factor Authentication | Network Segmentation | Privileged Account Management | User Account Management,False,0
Browser Extensions,0.005,1.0,-0.295,Low,1,True,Audit | Execution Prevention | Limit Software Installation | Update Software | User Training,False,0
COR_PROFILER,0.005,1.0,-0.295,Low,1,True,Execution Prevention | Restrict Registry Permissions | User Account Management,False,0
Cloud Instance Metadata API,0.005,1.0,-0.295,Low,1,True,Disable or Remove Feature or Program | Filter Network Traffic | Limit Access to Resource Over Network,False,0
Confluence,0.005,1.0,-0.295,Low,1,True,Audit | User Account Management | User Training,False,0
Container Administration Command,0.005,1.0,-0.295,Low,1,True,Disable or Remove Feature or Program | Execution Prevention | Limit Access to Resource Over Network | Privileged Account Management | User Account Management,False,0
Container and Resource Discovery,0.005,1.0,-0.295,Low,1,True,Limit Access to Resource Over Network | Network Segmentation | User Account Management,False,0
Data Manipulation,0.005,1.0,-0.295,Low,1,True,Encrypt Sensitive Information | Network Segmentation | Remote Data Storage | Restrict File and Directory Permissions,False,0
Data from Information Repositories,0.005,1.0,-0.295,Low,1,True,Audit | Encrypt Sensitive Information | Multi-factor Authentication | Out-of-Band Communications Channel | Software Configuration | User Account Management | User Training,False,0
Deploy Container,0.005,1.0,-0.295,Low,1,True,Audit | Limit Access to Resource Over Network | Network Segmentation | User Account Management,False,0
Domain Controller Authentication,0.005,1.0,-0.295,Low,1,True,Multi-factor Authentication | Privileged Account Management | Privileged Process Integrity | User Training,False,0
Escape to Host,0.005,1.0,-0.295,Low,1,True,Application Isolation and Sandboxing | Disable or Remove Feature or Program | Execution Prevention | Privileged Account Management | Update Software,False,0
Executable Installer File Permissions Weakness,0.005,1.0,-0.295,Low,1,True,Audit | User Account Control | User Account Management,False,0
Exploitation for Credential Access,0.005,1.0,-0.295,Low,1,True,Application Developer Guidance | Application Isolation and Sandboxing | Exploit Protection | Threat Intelligence Program | Update Software,False,0
Hybrid Identity,0.005,1.0,-0.295,Low,1,True,Audit | Multi-factor Authentication | Privileged Account Management,False,0
IDE Extensions,0.005,1.0,-0.295,Low,1,True,Audit | Execution Prevention | Limit Software Installation | Update Software | User Training,False,0
Malicious Image,0.005,1.0,-0.295,Low,1,True,Audit | Code Signing | Network Intrusion Prevention | User Training,False,0
Malicious Library,0.005,1.0,-0.295,Low,1,True,Limit Software Installation | Network Intrusion Prevention | User Training,False,0
Modify Authentication Process,0.005,1.0,-0.295,Low,1,True,Audit | Multi-factor Authentication | Operating System Configuration | Password Policies | Privileged Account Management | Privileged Process Integrity | Restrict File and Directory Permissions | Restrict Registry Permissions | User Account Management,False,0
Multi-Factor Authentication,0.005,1.0,-0.295,Low,1,True,Audit | Multi-factor Authentication | User Account Management,False,0
Network Boundary Bridging,0.005,1.0,-0.295,Low,1,True,Credential Access Protection | Filter Network Traffic | Multi-factor Authentication | Password Policies | Privileged Account Management,False,0
Network Device Configuration Dump,0.005,1.0,-0.295,Low,1,True,Encrypt Sensitive Information | Filter Network Traffic | Network Intrusion Prevention | Network Segmentation | Software Configuration | Update Software,False,0
Network Device Firewall,0.005,1.0,-0.295,Low,1,True,Audit | Update Software | User Account Management,False,0
PowerShell Profile,0.005,1.0,-0.295,Low,1,True,Code Signing | Restrict File and Directory Permissions | Software Configuration,False,0
RDP Hijacking,0.005,1.0,-0.295,Low,1,True,Audit | Disable or Remove Feature or Program | Limit Access to Resource Over Network | Network Segmentation | Operating System Configuration | Privileged Account Management | User Account Management,False,0
Steal or Forge Authentication Certificates,0.005,1.0,-0.295,Low,1,True,Active Directory Configuration | Audit | Disable or Remove Feature or Program | Encrypt Sensitive Information,False,0
Steal or Forge Kerberos Tickets,0.005,1.0,-0.295,Low,1,True,Active Directory Configuration | Audit | Credential Access Protection | Encrypt Sensitive Information | Password Policies | Privileged Account Management,False,0
Stored Data Manipulation,0.005,1.0,-0.295,Low,1,True,Encrypt Sensitive Information | Remote Data Storage | Restrict File and Directory Permissions,False,0
Subvert Trust Controls,0.005,1.0,-0.295,Low,1,True,Execution Prevention | Operating System Configuration | Privileged Account Management | Restrict Registry Permissions | Software Configuration,False,0
Unsecured Credentials,0.005,1.0,-0.295,Low,1,True,Active Directory Configuration | Audit | Encrypt Sensitive Information | Filter Network Traffic | Limit Access to Resource Over Network | Operating System Configuration | Password Policies | Privileged Account Management | Restrict File and Directory Permissions | Update Software | User Training,False,0
Wi-Fi Networks,0.005,1.0,-0.295,Low,1,True,Encrypt Sensitive Information | Multi-factor Authentication | Network Segmentation,False,0
XDG Autostart Entries,0.005,1.0,-0.295,Low,1,True,Limit Software Installation | Restrict File and Directory Permissions | User Account Management,False,0
vSphere Installation Bundles,0.005,1.0,-0.295,Low,1,True,Audit | Boot Integrity | Code Signing,False,0
Cloud Account,-0.018,1.0,-0.318,Low,3,True,Audit | Multi-factor Authentication | Network Segmentation | Privileged Account Management | User Account Management,False,0
VNC,-0.029,1.0,-0.329,Low,4,True,Audit | Disable or Remove Feature or Program | Filter Network Traffic | Limit Software Installation,False,1
LSA Secrets,-0.032,1.0,-0.332,Low,10,True,Password Policies | Privileged Account Management | User Training,False,1
Accessibility Features,-0.034,1.0,-0.334,Low,6,True,Execution Prevention | Limit Access to Resource Over Network | Operating System Configuration,False,2
Dynamic Data Exchange,-0.057,1.0,-0.357,Low,11,True,Application Isolation and Sandboxing | Behavior Prevention on Endpoint | Disable or Remove Feature or Program | Software Configuration,False,3
Credentials,-0.273,0.333,-0.373,Low,5,True,Pre-compromise,False,1
At,-0.084,1.0,-0.384,Low,3,True,Audit | Operating System Configuration | Privileged Account Management | User Account Management,False,1
Multi-Factor Authentication Request Generation,-0.084,1.0,-0.384,Low,3,True,Account Use Policies | Multi-factor Authentication | User Training,False,1
Transfer Data to Cloud Account,-0.084,1.0,-0.384,Low,3,True,Data Loss Prevention | Filter Network Traffic | Software Configuration | User Account Management,False,1
Shortcut Modification,-0.179,1.0,-0.479,Low,4,True,Execution Prevention | Restrict File and Directory Permissions | User Account Management,False,1
Acquire Infrastructure,-0.558,0.333,-0.658,Low,8,True,Pre-compromise,False,1
