apt_group,nation,cluster,pca_x,pca_y
BackdoorDiplomacy,Others,4,-0.3464446650412587,-0.6574364406672039
Cinnamon Tempest,Others,1,-0.7263712672956972,0.21773164919119495
Ke3chang,China,4,-0.44664288429640375,-0.2829676035550189
APT42,Others,2,0.15438814369297285,0.21532587958804594
Machete,Others,3,0.6573860422544137,-0.1376413959047684
Leafminer,Iran,4,-0.077187743799249,0.05686456095831076
Tonto Team,Others,4,0.1524544377819015,-0.4570739014967257
Andariel,North Korea,3,0.45513016713160054,-0.5135308402384349
PROMETHIUM,Others,3,0.18781866855021154,-0.3426581013408142
APT5,Others,4,-0.5295510139530599,-0.2676068390988496
PLATINUM,Others,3,0.4788992003030357,-0.6327886634857782
Ember Bear,Others,4,-0.41506056142653136,0.16816329637633703
Sidewinder,Others,2,0.3861632187664436,-0.22703803424255095
DarkHydrus,Others,3,0.42738199099362273,-0.4028815626467712
TA551,Others,2,0.4136304063218259,-0.07034892650127472
TA578,Others,2,0.6968862092271281,1.0891811443090258
Metador,Others,4,-0.11114996844297885,-0.36914486018948744
EXOTIC LILY,Others,2,1.0608056935813897,0.6495298901305111
Higaisa,Others,2,0.23082627632369193,-0.34765353090762346
APT1,China,4,-0.03296604972383186,0.0327362477140307
Daggerfly,Others,4,-0.060930054062041335,0.0187393523158217
Volatile Cedar,Others,4,-0.3373125252384266,0.03202108928577431
Elderwood,Others,3,0.9125866152418103,-0.3012191471197193
Dark Caracal,Others,4,0.30320777241419383,-0.44440731338006595
Nomadic Octopus,Others,3,0.33589706890620935,-0.2593609254690212
MoustachedBouncer,Others,4,0.0021532504501499726,0.24666092774913273
SideCopy,Others,3,0.5373866143408007,-0.26798260821493386
Inception,Others,3,0.3210267501805603,-0.3964156957660627
Contagious Interview,Others,2,0.17948532021264466,0.7476043207306786
FIN10,Others,1,-0.4759966772113209,-0.06831682808750478
Poseidon Group,Others,4,-0.4575625791026204,-0.3152044800679713
Storm-0501,Others,1,-0.30078957353534574,0.15279187386615814
Ferocious Kitten,Others,3,0.9305473909563114,-0.3284013808757596
Rancor,Others,3,0.39714081390438805,-0.2489735374903785
Windigo,Others,4,-0.15750951667042223,-0.23167275613687618
RTM,Others,3,0.7020589667856603,-0.49311076879054644
DarkVishnya,Others,1,-0.6210802152592111,-0.20296126674712783
SilverTerrier,Others,1,-0.2536422419918336,0.211731881308813
The White Company,Others,3,0.5593393011688702,-0.6947877005175043
TA577,Others,2,0.5771074043380833,0.8358462935440748
Threat Group-1314,Others,1,-0.7822398395666312,0.14101938507607106
Star Blizzard,Russia,2,0.7041206017637289,0.844891708147155
APT18,China,4,-0.3183943427338606,-0.27709207982931694
Strider,Others,0,-0.4739453524821421,-0.817649851599076
Lotus Blossom,Others,4,-0.686571258392047,-0.12351102260998095
APT12,Others,3,0.9361725009928527,-0.35025153963741396
RedEcho,Others,2,0.3489474319525647,0.24662897574696435
Deep Panda,Others,1,-0.746369491620309,-0.11506966508618101
Moafee,Others,4,0.13609334844028073,0.1929871829648995
GCMAN,Others,4,-0.18196530608907602,-0.07165643094127562
TA459,Others,3,0.797074222404406,-0.26746200247477064
APT30,China,3,1.1369723778056555,-0.5179822550266022
Water Galura,Others,1,-0.15477612720136638,1.0254252267602468
FIN5,Others,4,-0.7333182948200615,0.056075973274460025
Scarlet Mimic,Others,3,0.541135552424153,-0.6891976007974213
IndigoZebra,Others,2,0.9329769438697331,0.5480616978900416
Winnti Group,China,4,0.06814474557773019,-0.23194205263527704
Gallmaker,Others,3,0.3847814991542918,-0.273680780162643
Thrip,Others,4,0.014960423000145296,0.249851409915564
Cleaver,Others,2,0.07961606648874987,0.7400498793354723
APT17,China,2,0.11158152728580534,1.1591377112289936
Equation,Others,0,-0.4490694153464477,-0.9114389059678913
Whitefly,Others,4,0.2060952346296339,-0.5067453953349373
Ajax Security Team,Others,3,0.7112944145324139,-0.4969929874330835
PittyTiger,Others,4,-0.42105885788188224,0.45638332684728966
Putter Panda,Others,2,0.03562637399768193,-0.2727794300884278
APT16,Others,2,-0.04834708690370075,0.7473697596787158
