technique,avg_velocity,max_velocity,peak_year,peak_groups,total_groups,years_tracked,spread_rate
Databases,0.0,0.0,2024,2,4,2,2.0
Delay Execution,0.0,0.0,2026,1,2,2,1.0
Delete Cloud Instance,0.0,0.0,2025,1,2,2,1.0
Develop Capabilities,0.0,0.0,2025,1,3,3,1.0
Disable or Modify Windows Event Log,0.0,0.0,2023,1,2,2,1.0
Disk Content Wipe,0.0,0.0,2026,1,3,3,1.0
Disk Structure Wipe,0.0,1.0,2019,2,6,5,1.2
Domain Generation Algorithms,0.0,0.0,2021,1,2,2,1.0
Double File Extension,0.0,0.0,2025,1,2,2,1.0
Dynamic API Resolution,0.0,0.0,2026,1,3,3,1.0
Email Accounts,0.0,4.0,2022,8,27,7,3.86
Email Collection,0.0,0.0,2024,2,4,2,2.0
Email Forwarding Rule,0.0,0.0,2025,1,5,5,1.0
Email Hiding Rules,0.0,0.0,2024,1,2,2,1.0
Employee Names,0.0,0.0,2022,1,3,3,1.0
Environmental Keying,0.0,0.0,2020,1,2,2,1.0
Exfiltration Over Alternative Protocol,0.0,0.0,2024,1,2,2,1.0
Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,0.0,0.0,2026,1,4,4,1.0
Exfiltration Over C2 Channel,0.0,3.0,2021,5,27,9,3.0
Exfiltration Over Web Service,0.0,0.0,2025,1,4,4,1.0
Exfiltration over USB,0.0,0.0,2021,1,2,2,1.0
Exfiltration to Cloud Storage,0.0,3.0,2022,6,25,8,3.12
Exploitation for Stealth,0.0,0.0,2025,1,2,2,1.0
External Defacement,0.0,0.0,2024,1,2,2,1.0
External Remote Services,0.0,3.0,2024,5,28,10,2.8
Fallback Channels,0.0,0.0,2025,1,5,5,1.0
Fileless Storage,0.0,0.0,2023,1,2,2,1.0
Forced Authentication,0.0,0.0,2021,1,2,2,1.0
GUI Input Capture,0.0,0.0,2024,1,2,2,1.0
Group Policy Modification,0.0,0.0,2026,1,5,5,1.0
Group Policy Preferences,0.0,0.0,2023,1,2,2,1.0
Hidden Users,0.0,0.0,2022,1,2,2,1.0
Hide Infrastructure,0.0,0.0,2025,1,2,2,1.0
Ignore Process Interrupts,0.0,0.0,2026,1,3,3,1.0
Indirect Command Execution,0.0,0.0,2024,1,2,2,1.0
Inhibit System Recovery,0.0,1.0,2025,3,7,4,1.75
InstallUtil,0.0,0.0,2021,1,2,2,1.0
Internal Defacement,0.0,0.0,2024,1,3,3,1.0
Internet Connection Discovery,0.0,4.0,2023,6,11,5,2.2
Invalid Code Signature,0.0,0.0,2020,1,2,2,1.0
Junk Code Insertion,0.0,0.0,2026,1,6,6,1.0
