technique,first_seen,last_seen,lifespan_years,active_years,total_groups,persistence_score,status
Exfiltration Over Unencrypted Non-C2 Protocol,2017,2025,8,5,11,0.785,Active
Password Spraying,2017,2025,8,8,11,0.785,Active
Regsvr32,2017,2025,8,7,11,0.785,Active
Remote Data Staging,2018,2026,8,7,11,0.785,Active
Remote Desktop Software,2018,2026,8,7,11,0.785,Active
Standard Encoding,2017,2025,8,6,11,0.785,Active
Timestomp,2017,2025,8,6,11,0.785,Active
Local Email Collection,2017,2026,9,5,8,0.78,Active
Process Hollowing,2017,2026,9,6,8,0.78,Active
Server,2020,2026,6,7,15,0.765,Active
Software Deployment Tools,2017,2026,9,5,7,0.765,Active
Hidden Files and Directories,2018,2025,7,7,12,0.76,Active
Remote Access Tools,2018,2025,7,6,12,0.76,Active
Internal Proxy,2017,2025,8,6,9,0.755,Active
Vulnerability Scanning,2020,2026,6,6,14,0.75,Active
Multi-hop Proxy,2018,2025,7,6,11,0.745,Active
Binary Padding,2017,2025,8,5,8,0.74,Active
Replication Through Removable Media,2017,2025,8,6,8,0.74,Active
Template Injection,2018,2026,8,5,8,0.74,Active
Archive via Custom Method,2017,2025,8,6,7,0.725,Active
Indicator Removal from Tools,2017,2025,8,4,7,0.725,Active
Sharepoint,2018,2026,8,6,7,0.725,Active
Account Manipulation,2017,2026,9,4,4,0.72,Active
Cloud Accounts,2020,2026,6,7,12,0.72,Active
Dead Drop Resolver,2017,2025,8,5,6,0.71,Active
Disk Structure Wipe,2018,2026,8,5,6,0.71,Active
Junk Code Insertion,2018,2026,8,6,6,0.71,Active
Mail Protocols,2017,2025,8,4,6,0.71,Active
Rootkit,2017,2025,8,5,6,0.71,Active
Password Filter DLL,2017,2026,9,3,3,0.705,Active
Network Sniffing,2018,2025,7,4,8,0.7,Active
Fallback Channels,2017,2025,8,5,5,0.695,Active
Windows Remote Management,2017,2025,8,5,5,0.695,Active
Compression,2020,2026,6,3,10,0.69,Active
Drive-by Compromise,2018,2024,6,6,31,0.69,Active
Steganography,2020,2026,6,4,10,0.69,Active
Service Stop,2019,2026,7,7,7,0.685,Active
Video Capture,2018,2026,8,4,4,0.68,Active
Data Destruction,2019,2026,7,5,6,0.67,Active
Permission Groups Discovery,2018,2025,7,5,6,0.67,Active
Digital Certificates,2020,2025,5,6,11,0.665,Active
Clear Command History,2019,2025,6,5,8,0.66,Active
Obfuscated Files or Information,2018,2024,6,6,18,0.66,Active
Phishing,2020,2026,6,5,8,0.66,Active
Audio Capture,2018,2026,8,2,2,0.65,Active
Code Signing Certificates,2020,2025,5,5,10,0.65,Active
Domain Trust Discovery,2021,2026,5,6,10,0.65,Active
Gather Victim Identity Information,2021,2026,5,6,10,0.65,Active
Unix Shell,2020,2025,5,4,10,0.65,Active
Automated Exfiltration,2020,2026,6,5,7,0.645,Active
Browser Information Discovery,2020,2026,6,4,7,0.645,Active
Financial Theft,2023,2026,3,4,15,0.645,Active
Impersonation,2023,2026,3,4,15,0.645,Active
Clipboard Data,2019,2026,7,4,4,0.64,Active
Component Object Model,2019,2026,7,4,4,0.64,Active
Password Cracking,2018,2025,7,4,4,0.64,Active
Internal Spearphishing,2020,2026,6,4,6,0.63,Active
Msiexec,2019,2025,6,4,6,0.63,Active
Private Keys,2020,2026,6,5,6,0.63,Active
Rename Legitimate Utilities,2019,2025,6,5,6,0.63,Active
Search Open Websites/Domains,2020,2026,6,4,6,0.63,Active
Windows Host Firewall,2020,2026,6,4,6,0.63,Active
Archive Collected Data,2017,2024,7,7,13,0.625,Active
Disk Content Wipe,2019,2026,7,3,3,0.625,Active
Internet Connection Discovery,2021,2025,4,5,11,0.625,Active
Dynamic Resolution,2021,2026,5,5,8,0.62,Active
Data Staged,2020,2026,6,4,5,0.615,Active
File Transfer Protocols,2020,2026,6,3,5,0.615,Active
Credentials from Password Stores,2017,2024,7,6,12,0.61,Active
Exploitation for Stealth,2018,2025,7,2,2,0.61,Active
Local Storage Discovery,2021,2025,4,4,10,0.61,Active
Password Managers,2020,2025,5,5,7,0.605,Active
System Checks,2021,2026,5,4,7,0.605,Active
Credentials In Files,2018,2024,6,6,14,0.6,Active
System Shutdown/Reboot,2019,2025,6,2,4,0.6,Active
External Proxy,2017,2024,7,6,11,0.595,Active
Pass the Hash,2017,2024,7,6,11,0.595,Active
Credentials in Registry,2020,2026,6,3,3,0.585,Active
Password Guessing,2020,2026,6,3,3,0.585,Active
LSA Secrets,2017,2024,7,5,10,0.58,Active
Steal Web Session Cookie,2021,2025,4,4,8,0.58,Active
Windows Management Instrumentation Event Subscription,2017,2024,7,7,10,0.58,Active
Application Layer Protocol,2020,2025,5,4,5,0.575,Active
Data from Cloud Storage,2020,2025,5,3,5,0.575,Active
Email Forwarding Rule,2020,2025,5,5,5,0.575,Active
Establish Accounts,2020,2025,5,4,5,0.575,Active
Group Policy Modification,2021,2026,5,5,5,0.575,Active
Application Access Token,2019,2025,6,2,2,0.57,Active
Botnet,2022,2026,4,4,7,0.565,Active
Gather Victim Org Information,2022,2026,4,4,7,0.565,Active
Peripheral Device Discovery,2017,2024,7,6,9,0.565,Active
Boot or Logon Initialization Scripts,2020,2025,5,4,4,0.56,Active
Clear Linux or Mac System Logs,2020,2025,5,4,4,0.56,Active
Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,2021,2026,5,4,4,0.56,Active
DNS,2018,2024,6,5,11,0.555,Active
Exploitation of Remote Services,2018,2024,6,6,11,0.555,Active
Data from Network Shared Drive,2017,2024,7,5,8,0.55,Active
Access Token Manipulation,2020,2025,5,2,3,0.545,Active
Adversary-in-the-Middle,2020,2025,5,3,3,0.545,Active
Develop Capabilities,2020,2025,5,3,3,0.545,Active
Input Capture,2020,2025,5,2,3,0.545,Active
Protocol or Service Impersonation,2020,2025,5,3,3,0.545,Active
Systemd Service,2020,2025,5,3,3,0.545,Active
Vulnerabilities,2020,2025,5,3,3,0.545,Active
System Language Discovery,2022,2026,4,4,5,0.535,Active
Credential Stuffing,2021,2026,5,2,2,0.53,Active
Port Knocking,2020,2025,5,2,2,0.53,Active
Windows Permissions,2020,2025,5,2,2,0.53,Active
Inhibit System Recovery,2023,2026,3,4,7,0.525,Active
Email Addresses,2020,2024,4,4,14,0.52,Active
Exfiltration Over Web Service,2021,2025,4,4,4,0.52,Active
Masquerade Account Name,2021,2025,4,3,4,0.52,Active
Multi-Factor Authentication Interception,2021,2025,4,3,4,0.52,Active
Prevent Command History Logging,2021,2025,4,3,4,0.52,Active
Create Account,2021,2025,4,3,3,0.505,Active
Data Transfer Size Limits,2017,2024,7,4,5,0.505,Active
Dynamic API Resolution,2022,2026,4,3,3,0.505,Active
Link Target,2021,2025,4,3,3,0.505,Active
Mark-of-the-Web Bypass,2021,2025,4,3,3,0.505,Active
SSH Authorized Keys,2021,2025,4,3,3,0.505,Active
Social Media,2021,2025,4,3,3,0.505,Active
Taint Shared Content,2017,2024,7,4,5,0.505,Active
